City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,13.81,44,40,4.12,AR,1667874945
1,anchorage,61.2181,-149.9003,0.56,65,100,5.66,US,1667875270
2,kapaa,22.0752,-159.319,26.72,77,40,5.66,US,1667875224
3,souillac,-20.5167,57.5167,23.21,78,40,2.57,MU,1667875374
4,nikolskoye,59.7035,30.7861,3.94,92,100,4.41,RU,1667875272
5,hermanus,-34.4187,19.2345,11.0,86,62,2.86,ZA,1667875412
6,yellowknife,62.456,-114.3525,-14.69,85,75,1.03,CA,1667875694
7,darhan,49.4867,105.9228,1.56,48,61,1.97,MN,1667875413
8,hilo,19.7297,-155.09,26.85,79,100,3.09,US,1667875413
9,goderich,43.7501,-81.7165,8.84,61,39,5.66,CA,1667875406
10,marawi,7.9986,124.2928,27.99,64,76,1.49,PH,1667875694
11,arraial do cabo,-22.9661,-42.0278,19.79,81,100,2.47,BR,1667875695
12,black forest,39.0131,-104.7008,7.08,68,0,3.13,US,1667875695
13,ladushkin,54.5703,20.171,9.31,88,100,6.13,RU,1667875696
14,provideniya,64.3833,-173.3,0.2,86,100,8.05,RU,1667875696
15,atuona,-9.8,-139.0333,25.07,71,99,6.72,PF,1667875696
16,oktyabrskoye,43.0645,44.7417,0.08,100,55,2.0,RU,1667875697
17,howard springs,-12.497,131.047,34.37,61,67,4.26,AU,1667875697
18,broome,42.2506,-75.833,8.72,66,0,5.66,US,1667875698
19,rikitea,-23.1203,-134.9692,23.23,92,100,7.16,PF,1667875680
20,chokurdakh,70.6333,147.9167,-23.83,97,62,5.06,RU,1667875698
21,georgetown,5.4112,100.3354,29.96,76,20,2.24,MY,1667875698
22,san patricio,28.017,-97.5169,25.47,86,3,4.73,US,1667875699
23,yar-sale,66.8333,70.8333,-5.54,97,100,1.72,RU,1667875699
24,bredasdorp,-34.5322,20.0403,13.46,90,65,2.44,ZA,1667875676
25,albany,42.6001,-73.9662,9.8,56,4,0.45,US,1667875145
26,xichang,27.8964,102.2634,16.5,65,0,1.14,CN,1667875417
27,grand gaube,-20.0064,57.6608,23.22,77,62,1.34,MU,1667875418
28,leningradskiy,69.3833,178.4167,-8.21,89,100,3.94,RU,1667875701
29,lorengau,-2.0226,147.2712,28.94,74,100,2.8,PG,1667875485
30,tuktoyaktuk,69.4541,-133.0374,-17.0,78,20,4.63,CA,1667875666
31,mataura,-46.1927,168.8643,18.6,43,85,1.45,NZ,1667875702
32,shache,38.4167,77.2406,8.29,33,100,0.9,CN,1667875419
33,puerto ayora,-0.7393,-90.3518,19.19,86,87,0.89,EC,1667875224
34,williams lake,52.1415,-122.1445,-14.24,89,100,2.57,CA,1667875702
35,ulaangom,49.9811,92.0667,-2.02,75,91,0.91,MN,1667875703
36,custodia,-8.0875,-37.6431,21.93,85,99,3.95,BR,1667875703
37,tayoltita,24.0833,-105.9333,17.24,53,0,2.55,MX,1667875421
38,kruisfontein,-34.0033,24.7314,13.02,86,34,2.29,ZA,1667875704
39,punta arenas,-53.15,-70.9167,10.06,76,0,5.66,CL,1667875704
40,deputatskiy,69.3,139.9,-21.26,93,100,2.55,RU,1667875704
41,sao filipe,14.8961,-24.4956,25.26,67,100,2.27,CV,1667875705
42,saint-philippe,-21.3585,55.7679,23.77,77,14,3.33,RE,1667875705
43,verkhnevilyuysk,63.4453,120.3167,-17.91,87,96,2.38,RU,1667875705
44,hobart,-42.8794,147.3294,27.35,50,20,4.63,AU,1667875706
45,bone,51.9669,12.1396,9.38,83,57,3.89,DE,1667875706
46,bengkulu,-3.8004,102.2655,25.44,83,100,1.26,ID,1667875706
47,acapulco,16.8634,-99.8901,26.9,89,20,3.6,MX,1667875618
48,asfi,32.2994,-9.2372,18.27,78,95,2.18,MA,1667875697
49,kalmunai,7.4167,81.8167,26.53,80,99,3.74,LK,1667875424
50,busselton,-33.65,115.3333,20.2,55,90,2.95,AU,1667875708
51,lompoc,34.6391,-120.4579,12.23,92,0,1.54,US,1667875708
52,bow island,49.8668,-111.3684,-14.9,85,100,4.12,CA,1667875529
53,atar,20.5169,-13.0499,25.34,18,98,1.61,MR,1667875708
54,portland,45.5234,-122.6762,5.75,92,100,2.24,US,1667875443
55,jamestown,42.097,-79.2353,6.77,70,0,4.12,US,1667875709
56,kahului,20.8947,-156.47,29.01,67,40,10.8,US,1667875709
57,qaanaaq,77.484,-69.3632,-18.05,98,100,1.82,GL,1667875710
58,cape town,-33.9258,18.4232,16.18,87,0,2.06,ZA,1667875024
59,port-gentil,-0.7193,8.7815,25.84,85,100,4.11,GA,1667875710
60,durazno,-33.4131,-56.5006,10.95,90,0,3.88,UY,1667875711
61,rafaela,-31.2503,-61.4867,19.44,43,100,2.24,AR,1667875711
62,ayr,55.4627,-4.6339,11.29,76,20,7.72,GB,1667875711
63,east london,-33.0153,27.9116,19.7,85,100,5.88,ZA,1667875553
64,cherskiy,68.75,161.3,-20.94,99,39,1.7,RU,1667875649
65,iiyama,36.85,138.3667,13.25,60,27,2.46,JP,1667875712
66,chupa,66.27,33.0549,-3.23,96,10,0.29,RU,1667875712
67,xining,36.6167,101.7667,7.86,46,0,0.79,CN,1667875713
68,soplaviento,10.3931,-75.1408,23.96,92,100,0.52,CO,1667875713
69,nouadhibou,20.931,-17.0347,19.99,77,7,4.12,MR,1667875429
70,zeya,53.75,127.2667,-4.87,74,22,1.13,RU,1667875714
71,barrow,71.2906,-156.7887,-3.99,80,100,10.8,US,1667875714
72,cairns,-16.9167,145.7667,33.37,58,75,5.66,AU,1667875714
73,laredo,27.5064,-99.5075,27.16,61,20,4.12,US,1667875436
74,brindisi,40.5833,17.6667,13.58,82,2,3.14,IT,1667875452
75,kaeo,-35.1,173.7833,17.96,90,99,4.7,NZ,1667875431
76,beringovskiy,63.05,179.3167,-2.5,95,100,6.48,RU,1667875715
77,dwarka,22.2394,68.9678,26.23,57,0,3.12,IN,1667875431
78,conselheiro pena,-19.1722,-41.4722,19.43,83,31,1.8,BR,1667875716
79,chaman,30.9236,66.4512,15.0,34,56,1.25,PK,1667875716
80,rtishchevo,52.2604,43.7874,0.4,83,100,3.27,RU,1667875433
81,hasaki,35.7333,140.8333,19.22,51,0,5.4,JP,1667875717
82,kampot,10.6167,104.1833,30.03,70,73,3.1,KH,1667875690
83,kuryk,43.2,51.65,3.63,73,16,5.83,KZ,1667875717
84,kinlochleven,56.7115,-4.9661,10.16,93,100,2.89,GB,1667875718
85,tiksi,71.6872,128.8694,-17.47,91,100,7.7,RU,1667875718
86,jalu,29.0331,21.5482,16.38,83,0,3.95,LY,1667875699
87,college,64.8569,-147.8028,-7.11,74,100,0.0,US,1667875719
88,whitehorse,60.7161,-135.0538,-16.57,77,20,8.23,CA,1667875453
89,nanortalik,60.1432,-45.2371,-2.18,87,100,1.75,GL,1667875605
90,lebu,-37.6167,-73.65,11.6,87,100,4.69,CL,1667875691
91,lavrentiya,65.5833,-171.0,-2.31,96,100,9.93,RU,1667875719
92,valverde del camino,37.5751,-6.7543,12.79,97,76,0.75,ES,1667875436
93,hengyang,26.8881,112.615,25.47,42,21,0.91,CN,1667875720
94,mende,44.6667,3.5,4.37,95,97,3.12,FR,1667875436
95,butaritari,3.0707,172.7902,26.97,73,17,2.05,KI,1667875720
96,kenora,49.8167,-94.4337,-1.46,86,100,2.57,CA,1667875634
97,saint john,45.2727,-66.0677,12.0,46,0,8.23,CA,1667875535
98,new norfolk,-42.7826,147.0587,27.16,31,43,1.34,AU,1667875721
99,batagay,67.6333,134.6333,-19.15,94,100,1.43,RU,1667875722
100,inuvik,68.3499,-133.7218,-14.44,72,20,3.6,CA,1667875722
101,vanavara,60.34,102.2797,-7.69,88,99,4.43,RU,1667875723
102,lasa,46.6166,10.7002,6.18,54,52,0.7,IT,1667875598
103,uporovo,56.3109,66.2693,-2.46,96,100,3.65,RU,1667875723
104,chuy,-33.6971,-53.4616,14.29,86,11,3.52,UY,1667875724
105,mao,39.8885,4.2658,17.31,77,0,2.06,ES,1667875724
106,shakawe,-18.3667,21.85,20.63,85,100,0.84,BW,1667875724
107,shitanjing,39.2342,106.3439,8.44,55,84,3.32,CN,1667875725
108,fukue,32.6881,128.8419,20.2,52,20,3.6,JP,1667875725
109,ust-kuyga,70.0167,135.6,-16.55,97,100,2.69,RU,1667875725
110,mar del plata,-38.0023,-57.5575,16.04,91,0,6.26,AR,1667875726
111,herouville-saint-clair,49.2109,-0.3065,14.55,76,0,8.75,FR,1667875726
112,zanjan,36.6736,48.4787,3.79,84,100,2.66,IR,1667875727
113,isangel,-19.55,169.2667,27.06,78,75,6.69,VU,1667875727
114,krasnyye chetai,55.6887,46.1386,0.54,98,100,3.1,RU,1667875727
115,khatanga,71.9667,102.5,-13.74,96,100,1.46,RU,1667875728
116,kodiak,57.79,-152.4072,1.73,93,100,4.63,US,1667875728
117,san cristobal,7.7669,-72.225,19.1,95,100,1.06,VE,1667875729
118,amahai,-3.3333,128.9167,30.26,64,100,2.02,ID,1667875729
119,luanda,-8.8368,13.2343,26.0,83,75,3.09,AO,1667875729
120,norman wells,65.282,-126.8329,-16.98,78,20,3.09,CA,1667875730
121,bundaberg,-24.85,152.35,23.82,49,62,5.33,AU,1667875588
122,strezhevoy,60.7333,77.5889,-4.15,93,100,3.51,RU,1667875730
123,najran,17.4924,44.1277,14.36,33,0,1.81,SA,1667875731
124,saldanha,-33.0117,17.9442,15.71,85,76,3.4,ZA,1667875730
125,sao joao da barra,-21.6403,-41.0511,20.68,75,100,1.51,BR,1667875731
126,umm lajj,25.0213,37.2685,22.77,59,0,3.79,SA,1667875731
127,bam,29.106,58.357,16.84,32,0,3.67,IR,1667875446
